sample.id,fragment.id,date.sampled,timepoint,metric,method,box,freezer,initials,notes
97,,,final,dna.rna,shield,,,,
98,,,final,microbe,shield,,,,
99,,,final,metabolomics,ln2,,,,
100,,,final,dna.rna,ln2,,,,
101,,,final,,,,,,
102,,,final,,,,,,
103,,,final,,,,,,
104,,,final,,,,,,
105,,,final,,,,,,
106,,,final,,,,,,
107,,,final,,,,,,
108,,,final,,,,,,
109,,,final,,,,,,
110,,,final,,,,,,
111,,,final,,,,,,
112,,,final,,,,,,
113,,,final,,,,,,
114,,,final,,,,,,
115,,,final,,,,,,
116,,,final,,,,,,
117,,,final,,,,,,
118,,,final,,,,,,
119,,,final,,,,,,
120,,,final,,,,,,
121,,,final,,,,,,
122,,,final,,,,,,
123,,,final,,,,,,
124,,,final,,,,,,
125,,,final,,,,,,
126,,,final,,,,,,
127,,,final,,,,,,
128,,,final,,,,,,
129,,,final,,,,,,
130,,,final,,,,,,
131,,,final,,,,,,
132,,,final,,,,,,
133,,,final,,,,,,
134,,,final,,,,,,
135,,,final,,,,,,
136,,,final,,,,,,
137,,,final,,,,,,
138,,,final,,,,,,
139,,,final,,,,,,
140,,,final,,,,,,
141,,,final,,,,,,
142,,,final,,,,,,
143,,,final,,,,,,
144,,,final,,,,,,
145,,,final,,,,,,
146,,,final,,,,,,
147,,,final,,,,,,
148,,,final,,,,,,
149,,,final,,,,,,
150,,,final,,,,,,
151,,,final,,,,,,
152,,,final,,,,,,
153,,,final,,,,,,
154,,,final,,,,,,
155,,,final,,,,,,
156,,,final,,,,,,
157,,,final,,,,,,
158,,,final,,,,,,
159,,,final,,,,,,
160,,,final,,,,,,
161,,,final,,,,,,
162,,,final,,,,,,
163,,,final,,,,,,
164,,,final,,,,,,
165,,,final,,,,,,
166,,,final,,,,,,
167,,,final,,,,,,
168,,,final,,,,,,
169,,,final,,,,,,
170,,,final,,,,,,
171,,,final,,,,,,
172,,,final,,,,,,
173,,,final,,,,,,
174,,,final,,,,,,
175,,,final,,,,,,
176,,,final,,,,,,
177,,,final,,,,,,
178,,,final,,,,,,
179,,,final,,,,,,
180,,,final,,,,,,
181,,,final,,,,,,
182,,,final,,,,,,
183,,,final,,,,,,
184,,,final,,,,,,
185,,,final,,,,,,
186,,,final,,,,,,
187,,,final,,,,,,
188,,,final,,,,,,
189,,,final,,,,,,
190,,,final,,,,,,
191,,,final,,,,,,
192,,,final,,,,,,
193,,,final,,,,,,
194,,,final,,,,,,
195,,,final,,,,,,
196,,,final,,,,,,
197,,,final,,,,,,
198,,,final,,,,,,
199,,,final,,,,,,
200,,,final,,,,,,
201,,,final,,,,,,
202,,,final,,,,,,
203,,,final,,,,,,
204,,,final,,,,,,
205,,,final,,,,,,
206,,,final,,,,,,
207,,,final,,,,,,
208,,,final,,,,,,
209,,,final,,,,,,
210,,,final,,,,,,
211,,,final,,,,,,
212,,,final,,,,,,
213,,,final,,,,,,
214,,,final,,,,,,
215,,,final,,,,,,
216,,,final,,,,,,
217,,,final,,,,,,
218,,,final,,,,,,
219,,,final,,,,,,
220,,,final,,,,,,
221,,,final,,,,,,
222,,,final,,,,,,
223,,,final,,,,,,
224,,,final,,,,,,
225,,,final,,,,,,
226,,,final,,,,,,
227,,,final,,,,,,
228,,,final,,,,,,
229,,,final,,,,,,
230,,,final,,,,,,
231,,,final,,,,,,
232,,,final,,,,,,
233,,,final,,,,,,
234,,,final,,,,,,
235,,,final,,,,,,
236,,,final,,,,,,
237,,,final,,,,,,
238,,,final,,,,,,
239,,,final,,,,,,
240,,,final,,,,,,
241,,,final,,,,,,
242,,,final,,,,,,
243,,,final,,,,,,
244,,,final,,,,,,
245,,,final,,,,,,
246,,,final,,,,,,
247,,,final,,,,,,
248,,,final,,,,,,
