sample.id,fragment.id,date.sampled,timepoint,metric,method,box,freezer,initials,notes
3,A16,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
4,A16,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
51,A16,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
52,A16,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
5,A20,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
6,A20,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
53,A20,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
54,A20,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
7,A31,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
8,A31,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
55,A31,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
56,A31,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
1,A7,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
2,A7,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
49,A7,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
50,A7,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
11,B20,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
12,B20,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
59,B20,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
60,B20,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
13,B25,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
14,B25,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
61,B25,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
62,B25,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
15,B34,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
16,B34,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
63,B34,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
64,B34,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
9,B9,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
10,B9,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
57,B9,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
58,B9,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
17,C1,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
18,C1,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
65,C1,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
66,C1,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
19,C19,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
20,C19,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
67,C19,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
68,C19,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
21,C26,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
22,C26,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
